Number,Item_Number,Item,Scale,Authors,Source of Rating,Primer,Factor,Remember_total,ARI_Study1_Avg_Remember%,FYP_Likert_Avg_Remember%,FYP_Binary_Avg_Remember%,"Hansbrough et al., 2015 Table 1 & 5",ARI_360_Manager_Remember%,ARI_Self_report_Remember%,Response Scale Format,Variable,Pos_Neg,AC_Binary,AC_Binary_Note,PS,PS_Note,Low_EV,High_EV,Starts_I,I_or_Me
1,1,My manager listens to what employees have to say ,Ethical Leadership,"Brown, Trevino, & Harrison, 2005",Follower,,,0.45,0.45,,,,,,"1 - Strongly
  Disagree; 5 - Strongly Agree",Predictor,Positive,Concrete,,3,,FALSE,FALSE,FALSE,FALSE
2,2,My manager disciplines employees who violate ethical standards,Ethical Leadership,,Follower,,,0.4,0.4,,,,,,2 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Concrete,,3,,TRUE,FALSE,FALSE,FALSE
3,3,My manager conducts their personal life in an ethical manner,Ethical Leadership,,Follower,,,0.31,0.31,,,,,,3 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Abstract ,,2,,FALSE,FALSE,FALSE,FALSE
4,4,My manager has the best interests of employees in mind,Ethical Leadership,,Follower,,,0.416666667,0.43,0.37,0.45,,,,4 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Abstract ,,2,,FALSE,FALSE,FALSE,FALSE
5,5,My manager makes fair and balanced decisions ,Ethical Leadership,,Follower,,,0.556666667,0.53,0.63,0.51,,,,5 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Abstract ,,2,,FALSE,TRUE,FALSE,FALSE
6,6,My manager can be trusted,Ethical Leadership,,Follower,,,0.386666667,0.42,0.38,0.36,,,,6 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Abstract ,,2,,FALSE,TRUE,FALSE,FALSE
7,7,My manager discusses business ethics or values with employees,Ethical Leadership,,Follower,,,0.58,0.58,,,,,,7 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Concrete,,3,,FALSE,TRUE,FALSE,FALSE
8,8,My manager sets an example of how to do things the right way in terms of ethics,Ethical Leadership,,Follower,,,0.51,0.51,,,,,,8 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Abstract ,,2,,FALSE,TRUE,FALSE,FALSE
9,9,My manager defines success not just by results but also the way that they are obtained,Ethical Leadership,,Follower,,,0.43,0.43,,,,,,9 - Strongly Disagree; 5 - Strongly Agree,Predictor,Positive,Abstract ,,2,,FALSE,TRUE,FALSE,FALSE
10,10,"My manager when making decisions asks, Òwhat is the right thing to do?Ó",Ethical Leadership,,Follower,,,0.47,0.47,,,,,,"10 - Strongly Disagree; 5 - Strongly
  Agree",Predictor,Positive,Concrete,,3,,FALSE,TRUE,FALSE,FALSE
11,1,"Do you know where
  you stand with your supervisor; do you usually know how satisfied your
  supervisor is with what you do?",LMX-7 ,"Graen & Uhl-Bien, 1995",Follower,,,,,,,,,,Rarely Occasionally Sometimes Fairly Often Very Often,Predictor,Positive,Abstract ,,2,,FALSE,TRUE,TRUE,FALSE
12,2,"How well does your supervisor
  understand your job problems and needs?",LMX-7 ,,Follower,,,,,,,,,,Not a Bit A Little A Fair Amount Quite a Bit A Great Deal,Predictor,Positive,Abstract ,,2,,TRUE,TRUE,FALSE,TRUE
